Date,Day,Name,Type,Details
6/10/2014,Tuesday,Portugal Day,National holiday,
6/13/2014,Friday,St. Anthony's Day,District Holiday,"Lisbon, Vila Real"
6/21/2014,Saturday,June Solstice,Season,
6/24/2014,Tuesday,St. John's Day,District Holiday,"Braga, Porto"
6/29/2014,Sunday,St. Peter's Day,District Holiday,Evora
7/1/2014,Tuesday,Madeira Day,Regional Holiday,Madeira
7/4/2014,Friday,St. Elizabeth's Day,District Holiday,Coimbra
8/15/2014,Friday,Assumption of Mary,National holiday,
8/20/2014,Wednesday,Our Lady of Sorrows,District Holiday,Viana do Castelo
8/22/2014,Friday,Our Lady of Graces,District Holiday,Braganca
9/7/2014,Sunday,Faro Day,District Holiday,Faro
9/15/2014,Monday,Birth of Bocage,District Holiday,Set£bal
9/21/2014,Sunday,St. Matthew's Day,District Holiday,Viseu
9/23/2014,Tuesday,September Equinox,Season,
10/26/2014,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time,
11/27/2014,Thursday,Foral of Sancho I,District Holiday,Guarda
12/8/2014,Monday,Feast of the Immaculate Conception,National holiday,
12/21/2014,Sunday,December Solstice,Season,
12/24/2014,Wednesday,Christmas Eve,Observance,
12/25/2014,Thursday,Christmas Day,National holiday,
12/31/2014,Wednesday,New Year's Eve,Observance,
